country,surname,rank,length,vowel_count,diacritic_count,first_letter,last_letter,country_code
Non-Eastern European,hurley,0,6,2,0,h,y,5
Montenegro,Radonjić,21,8,3,1,R,ć,4
Non-Eastern European,bradley,0,7,2,0,b,y,5
Montenegro,Samardžić,98,9,3,2,S,ć,4
Non-Eastern European,nash,0,4,1,0,n,h,5
Non-Eastern European,gay,0,3,1,0,g,y,5
Non-Eastern European,sargent,0,7,2,0,s,t,5
Montenegro,Murić,46,5,2,1,M,ć,4
Non-Eastern European,contreras,0,9,3,0,c,s,5
Non-Eastern European,frank,0,5,1,0,f,k,5
Serbia,Perić,76,5,2,1,P,ć,2
Non-Eastern European,kaufman,0,7,3,0,k,n,5
Non-Eastern European,cole,0,4,2,0,c,e,5
Non-Eastern European,knox,0,4,1,0,k,x,5
Serbia,Kostić,16,6,2,1,K,ć,2
Non-Eastern European,beach,0,5,2,0,b,h,5
Non-Eastern European,frye,0,4,1,0,f,e,5
Non-Eastern European,hodge,0,5,2,0,h,e,5
Bosnia and Herzegovina,Husić,90,5,2,1,H,ć,3
Serbia,Mitić,46,5,2,1,M,ć,2
Non-Eastern European,lott,0,4,1,0,l,t,5
Non-Eastern European,rodriquez,0,9,4,0,r,z,5
Serbia,Dimitrijević,18,12,5,1,D,ć,2
Serbia,Knežević,57,8,3,2,K,ć,2
Bosnia and Herzegovina,Suljić,74,6,2,1,S,ć,3
Non-Eastern European,brown,0,5,1,0,b,n,5
Non-Eastern European,murphy,0,6,1,0,m,y,5
Non-Eastern European,byrd,0,4,0,0,b,d,5
Montenegro,Šćekić,33,6,2,3,Š,ć,4
Croatia,Jurković,24,8,3,1,J,ć,0
Non-Eastern European,brennan,0,7,2,0,b,n,5
Non-Eastern European,burch,0,5,1,0,b,h,5
Non-Eastern European,walker,0,6,2,0,w,r,5
Serbia,Antić,50,5,2,1,A,ć,2
Non-Eastern European,wells,0,5,1,0,w,s,5
Non-Eastern European,becker,0,6,2,0,b,r,5
Croatia,Marjanović,50,10,4,1,M,ć,0
Slovenia,Fras,78,4,1,0,F,s,1
Non-Eastern European,hunt,0,4,1,0,h,t,5
Non-Eastern European,tate,0,4,2,0,t,e,5
Non-Eastern European,hansen,0,6,2,0,h,n,5
Bosnia and Herzegovina,Beganović,58,9,4,1,B,ć,3
Montenegro,Pavićević,30,9,4,2,P,ć,4
Non-Eastern European,castaneda,0,9,4,0,c,a,5
Non-Eastern European,frazier,0,7,3,0,f,r,5
Non-Eastern European,yang,0,4,1,0,y,g,5
Non-Eastern European,cummings,0,8,2,0,c,s,5
Croatia,Rukavina,30,8,4,0,R,a,0
Non-Eastern European,reyes,0,5,2,0,r,s,5
Non-Eastern European,barlow,0,6,2,0,b,w,5
Non-Eastern European,ortega,0,6,3,0,o,a,5
Bosnia and Herzegovina,Topić,73,5,2,1,T,ć,3
Non-Eastern European,herrera,0,7,3,0,h,a,5
Croatia,Perković,31,8,3,1,P,ć,0
Non-Eastern European,fitzpatrick,0,11,3,0,f,k,5
Croatia,Crnković,66,8,2,1,C,ć,0
Non-Eastern European,castillo,0,8,3,0,c,o,5
Non-Eastern European,oliver,0,6,3,0,o,r,5
Serbia,Grujić,65,6,2,1,G,ć,2
Non-Eastern European,kirby,0,5,1,0,k,y,5
Slovenia,Kuhar,40,5,2,0,K,r,1
Non-Eastern European,byers,0,5,1,0,b,s,5
Non-Eastern European,robbins,0,7,2,0,r,s,5
Bosnia and Herzegovina,Zahirović,81,9,4,1,Z,ć,3
Non-Eastern European,baxter,0,6,2,0,b,r,5
Slovenia,Bogataj,93,7,3,0,B,j,1
Bosnia and Herzegovina,Filipović,46,9,4,1,F,ć,3
Non-Eastern European,washington,0,10,3,0,w,n,5
Non-Eastern European,ayers,0,5,2,0,a,s,5
Croatia,Kolarić,71,7,3,1,K,ć,0
Non-Eastern European,eaton,0,5,3,0,e,n,5
Non-Eastern European,cline,0,5,2,0,c,e,5
Non-Eastern European,henson,0,6,2,0,h,n,5
Non-Eastern European,cobb,0,4,1,0,c,b,5
Croatia,Lukić,33,5,2,1,L,ć,0
Non-Eastern European,hobbs,0,5,1,0,h,s,5
Non-Eastern European,holman,0,6,2,0,h,n,5
Non-Eastern European,coleman,0,7,3,0,c,n,5
Non-Eastern European,butler,0,6,2,0,b,r,5
Non-Eastern European,webster,0,7,2,0,w,r,5
Non-Eastern European,blanchard,0,9,2,0,b,d,5
Serbia,Novaković,43,9,4,1,N,ć,2
Non-Eastern European,merritt,0,7,2,0,m,t,5
Non-Eastern European,waller,0,6,2,0,w,r,5
Slovenia,Kovačič,4,7,3,2,K,č,1
Non-Eastern European,irwin,0,5,2,0,i,n,5
Non-Eastern European,shaw,0,4,1,0,s,w,5
Bosnia and Herzegovina,Milošević,57,9,4,2,M,ć,3
Non-Eastern European,dodson,0,6,2,0,d,n,5
Croatia,Perić,60,5,2,1,P,ć,0
Non-Eastern European,johns,0,5,1,0,j,s,5
Croatia,Vrdoljak,70,8,2,0,V,k,0
Non-Eastern European,oconnor,0,7,3,0,o,r,5
Non-Eastern European,browning,0,8,2,0,b,g,5
Non-Eastern European,reeves,0,6,3,0,r,s,5
Bosnia and Herzegovina,Petrović,4,8,3,1,P,ć,3
Non-Eastern European,wright,0,6,1,0,w,t,5
Non-Eastern European,lara,0,4,2,0,l,a,5
Non-Eastern European,carey,0,5,2,0,c,y,5
Non-Eastern European,cooper,0,6,3,0,c,r,5
Non-Eastern European,howard,0,6,2,0,h,d,5
Non-Eastern European,jimenez,0,7,3,0,j,z,5
Bosnia and Herzegovina,Hadžić,7,6,2,2,H,ć,3
Non-Eastern European,gonzales,0,8,3,0,g,s,5
Montenegro,Krivokapić,37,10,4,1,K,ć,4
Montenegro,Kalač,23,5,2,1,K,č,4
Croatia,Jovanović,79,9,4,1,J,ć,0
Non-Eastern European,johnson,0,7,2,0,j,n,5
Non-Eastern European,oneill,0,6,3,0,o,l,5
Bosnia and Herzegovina,Novaković,89,9,4,1,N,ć,3
Bosnia and Herzegovina,Muratović,59,9,4,1,M,ć,3
Non-Eastern European,gregory,0,7,2,0,g,y,5
Montenegro,Klikovac,40,8,3,0,K,c,4
Non-Eastern European,key,0,3,1,0,k,y,5
Bosnia and Herzegovina,Babić,10,5,2,1,B,ć,3
Montenegro,Agović,61,6,3,1,A,ć,4
Non-Eastern European,moran,0,5,2,0,m,n,5
Non-Eastern European,flynn,0,5,0,0,f,n,5
Non-Eastern European,swanson,0,7,2,0,s,n,5
Slovenia,Jelen,67,5,2,0,J,n,1
Non-Eastern European,pruitt,0,6,2,0,p,t,5
Non-Eastern European,freeman,0,7,3,0,f,n,5
Non-Eastern European,england,0,7,2,0,e,d,5
Non-Eastern European,clay,0,4,1,0,c,y,5
Serbia,Radosavljević,53,13,5,1,R,ć,2
Serbia,Matić,77,5,2,1,M,ć,2
Non-Eastern European,mcdowell,0,8,2,0,m,l,5
Slovenia,Koren,29,5,2,0,K,n,1
Non-Eastern European,morse,0,5,2,0,m,e,5
Non-Eastern European,lamb,0,4,1,0,l,b,5
Non-Eastern European,green,0,5,2,0,g,n,5
Non-Eastern European,anderson,0,8,3,0,a,n,5
Montenegro,Filipović,70,9,4,1,F,ć,4
Serbia,Popović,9,7,3,1,P,ć,2
Slovenia,Gregorič,73,8,3,1,G,č,1
Bosnia and Herzegovina,Blagojević,49,10,4,1,B,ć,3
Montenegro,Bošković,19,8,3,2,B,ć,4
Non-Eastern European,buck,0,4,1,0,b,k,5
Non-Eastern European,strong,0,6,1,0,s,g,5
Non-Eastern European,boyle,0,5,2,0,b,e,5
Non-Eastern European,hines,0,5,2,0,h,s,5
Non-Eastern European,garcia,0,6,3,0,g,a,5
Non-Eastern European,vazquez,0,7,3,0,v,z,5
Non-Eastern European,perkins,0,7,2,0,p,s,5
Non-Eastern European,graham,0,6,2,0,g,m,5
Slovenia,Kobal,90,5,2,0,K,l,1
Non-Eastern European,castillo,0,8,3,0,c,o,5
Non-Eastern European,finley,0,6,2,0,f,y,5
Croatia,Radić,74,5,2,1,R,ć,0
Slovenia,Kralj,14,5,1,0,K,j,1
Non-Eastern European,wyatt,0,5,1,0,w,t,5
Non-Eastern European,barker,0,6,2,0,b,r,5
Non-Eastern European,simon,0,5,2,0,s,n,5
Non-Eastern European,richard,0,7,2,0,r,d,5
Non-Eastern European,hayden,0,6,2,0,h,n,5
