country,surname,rank,length,vowel_count,diacritic_count,first_letter,last_letter,country_code
Croatia,Knežević,1,8,3,2,K,ć,0
Croatia,Horvat,2,6,2,0,H,t,0
Croatia,Kovačević,3,9,4,2,K,ć,0
Croatia,Pavlović,4,8,3,1,P,ć,0
Croatia,Blažević,5,8,3,2,B,ć,0
Croatia,Božić,6,5,2,2,B,ć,0
Croatia,Lovrić,7,6,2,1,L,ć,0
Croatia,Babić,8,5,2,1,B,ć,0
Croatia,Marković,9,8,3,1,M,ć,0
Croatia,Bošnjak,10,7,2,1,B,k,0
Croatia,Grgić,11,5,1,1,G,ć,0
Croatia,Brkić,12,5,1,1,B,ć,0
Croatia,Filipović,13,9,4,1,F,ć,0
Croatia,Vidović,14,7,3,1,V,ć,0
Croatia,Tomić,15,5,2,1,T,ć,0
Croatia,Kovačić,16,7,3,2,K,ć,0
Croatia,Jukić,17,5,2,1,J,ć,0
Croatia,Martinović,18,10,4,1,M,ć,0
Croatia,Novak,19,5,2,0,N,k,0
Croatia,Petrović,20,8,3,1,P,ć,0
Croatia,Mandić,21,6,2,1,M,ć,0
Croatia,Šimunović,22,9,4,2,Š,ć,0
Croatia,Nikolić,23,7,3,1,N,ć,0
Croatia,Jurković,24,8,3,1,J,ć,0
Croatia,Barišić,25,7,3,2,B,ć,0
Croatia,Lončar,26,6,2,1,L,r,0
Croatia,Živković,27,8,3,2,Ž,ć,0
Croatia,Šimić,28,5,2,2,Š,ć,0
Croatia,Jurić,29,5,2,1,J,ć,0
Croatia,Rukavina,30,8,4,0,R,a,0
Croatia,Perković,31,8,3,1,P,ć,0
Croatia,Vučković,32,8,3,2,V,ć,0
Croatia,Lukić,33,5,2,1,L,ć,0
Croatia,Matijević,34,9,4,1,M,ć,0
Croatia,Novosel,35,7,3,0,N,l,0
Croatia,Klarić,36,6,2,1,K,ć,0
Croatia,Matković,37,8,3,1,M,ć,0
Croatia,Pavić,38,5,2,1,P,ć,0
Croatia,Bašić,39,5,2,2,B,ć,0
Croatia,Antunović,40,9,4,1,A,ć,0
Croatia,Marušić,41,7,3,2,M,ć,0
Croatia,Ćosić,42,5,2,2,Ć,ć,0
Croatia,Kovač,43,5,2,1,K,č,0
Croatia,Matić,44,5,2,1,M,ć,0
Croatia,Miletić,45,7,3,1,M,ć,0
Croatia,Posavec,46,7,3,0,P,c,0
Croatia,Kralj,47,5,1,0,K,j,0
Croatia,Vuković,48,7,3,1,V,ć,0
Croatia,Varga,49,5,2,0,V,a,0
Croatia,Marjanović,50,10,4,1,M,ć,0
